account_id,segment,institution_size,province,principal_outstanding,undrawn_limit,collateral_value,loan_to_value,tenure_years,months_on_book,dpd,debt_review_flag,judgement_flag,administration_order,loadshedding_vulnerability_score,internal_rating,base_segment_ccf,base_segment_ttc_pd,base_segment_lgd,base_segment_corr,source_bank,source_date
FDIC_10004_20260331,Corporate_Large,Large_D-SIB,US,213204000.0,0.0,213204000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,ERGO BANK,2026-03-31
FDIC_2327_20260331,Corporate_Large,Large_D-SIB,US,336165000.0,0.0,336165000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,LOCAL BANK,2026-03-31
FDIC_23287_20260331,Corporate_Large,Large_D-SIB,US,4416770000.0,0.0,4416770000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CAPE COD FIVE CENTS SB,2026-03-31
FDIC_2328_20260331,Corporate_Large,Large_D-SIB,US,30561000.0,0.0,30561000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,AMERICAN EXC BK LINDSAY OK,2026-03-31
FDIC_23293_20260331,Corporate_Large,Large_D-SIB,US,1252773000.0,0.0,1252773000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FLORENCE BANK,2026-03-31
FDIC_23296_20260331,Corporate_Large,Large_D-SIB,US,6625661000.0,0.0,6625661000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SALEM FIVE CENTS SB,2026-03-31
FDIC_23298_20260331,Corporate_Large,Large_D-SIB,US,633514000.0,0.0,633514000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,WATERTOWN SAVINGS BANK,2026-03-31
FDIC_232_20260331,Corporate_Large,Large_D-SIB,US,86042000.0,0.0,86042000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SOLON STATE BANK,2026-03-31
FDIC_2331_20260331,Corporate_Large,Large_D-SIB,US,32656000.0,0.0,32656000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PEOPLES BANK&TRUST CO,2026-03-31
FDIC_23373_20260331,Corporate_Large,Large_D-SIB,US,83331000.0,0.0,83331000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,UNITED ORIENT BANK,2026-03-31
FDIC_23376_20260331,Corporate_Large,Large_D-SIB,US,318095000.0,0.0,318095000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST JACKSON BANK INC,2026-03-31
FDIC_23404_20260331,Corporate_Large,Large_D-SIB,US,97867000.0,0.0,97867000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,EVERGREEN NATIONAL BANK,2026-03-31
FDIC_23430_20260331,Corporate_Large,Large_D-SIB,US,103974000.0,0.0,103974000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST NB OF BURLESON,2026-03-31
FDIC_23473_20260331,Corporate_Large,Large_D-SIB,US,2095352000.0,0.0,2095352000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST FIDELITY BANK,2026-03-31
FDIC_23474_20260331,Corporate_Large,Large_D-SIB,US,3411482000.0,0.0,3411482000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,AMERICAN NB OF TEXAS,2026-03-31
FDIC_23498_20260331,Corporate_Large,Large_D-SIB,US,5191634000.0,0.0,5191634000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,TBK BANK SSB,2026-03-31
FDIC_234_20260331,Corporate_Large,Large_D-SIB,US,42889000.0,0.0,42889000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,POCAHONTAS STATE BANK,2026-03-31
FDIC_23523_20260331,Corporate_Large,Large_D-SIB,US,83984000.0,0.0,83984000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CITIZENS BANK INC,2026-03-31
FDIC_23537_20260331,Corporate_Large,Large_D-SIB,US,1124161000.0,0.0,1124161000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANKERS BANK,2026-03-31
FDIC_23286_20260331,Corporate_Large,Large_D-SIB,US,1430036000.0,0.0,1430036000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FALL RIVER FIVE CENTS SB,2026-03-31
FDIC_23275_20260331,Corporate_Large,Large_D-SIB,US,1505733000.0,0.0,1505733000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PLUMAS BANK,2026-03-31
FDIC_23551_20260331,Corporate_Large,Large_D-SIB,US,85821000.0,0.0,85821000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMUNITY BK EL DORADO SPRIN,2026-03-31
FDIC_23270_20260331,Corporate_Large,Large_D-SIB,US,29320000.0,0.0,29320000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SIOUXLAND BANK,2026-03-31
FDIC_23091_20260331,Corporate_Large,Large_D-SIB,US,4362058000.0,0.0,4362058000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,ALPINE BANK,2026-03-31
FDIC_23099_20260331,Corporate_Large,Large_D-SIB,US,102755000.0,0.0,102755000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANK OF PROTECTION,2026-03-31
FDIC_230_20260331,Corporate_Large,Large_D-SIB,US,158188000.0,0.0,158188000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMUNITY STATE BANK,2026-03-31
FDIC_23123_20260331,Corporate_Large,Large_D-SIB,US,385354000.0,0.0,385354000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANK OF BARTLETT,2026-03-31
FDIC_23126_20260331,Corporate_Large,Large_D-SIB,US,61533000.0,0.0,61533000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,HURON STATE BANK,2026-03-31
FDIC_23144_20260331,Corporate_Large,Large_D-SIB,US,369298000.0,0.0,369298000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SOUTH LOUISIANA BANK,2026-03-31
FDIC_23152_20260331,Corporate_Large,Large_D-SIB,US,233738000.0,0.0,233738000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST CITIZENS BANK,2026-03-31
