date,load_shedding_stage,daily_hours_shed,monthly_gwh_lost
2023-09-30 14:01:43.328693,2,7.099332349113736,967.8437293495756
2023-10-31 14:01:43.328693,3,8.02667086555413,1122.270263636564
2023-11-30 14:01:43.328693,2,6.0265265311214,1073.184183794387
2023-12-31 14:01:43.328693,1,3.254373093745338,503.1941065724502
2024-01-31 14:01:43.328693,4,12.465826761300658,2130.1263651261756
2024-02-29 14:01:43.328693,4,11.079342565338365,1537.2607111610341
2024-03-31 14:01:43.328693,3,7.163789607630694,1012.9044424847027
2024-04-30 14:01:43.328693,3,10.836533934043954,1301.577388483347
2024-05-31 14:01:43.328693,3,8.92788696182104,1563.130540742551
2024-06-30 14:01:43.328693,4,11.65120106257399,1950.4132652953008
2024-07-31 14:01:43.328693,4,13.350214889519446,1922.5323396157366
2024-08-31 14:01:43.328693,2,6.408503084871164,1065.2267165736125
2024-09-30 14:01:43.328693,2,6.49445060067473,839.2945427295606
2024-10-31 14:01:43.328693,3,8.79424265505875,1410.2426515272846
2024-11-30 14:01:43.328693,1,3.0463820518948426,487.0405504242569
2024-12-31 14:01:43.328693,2,7.623476387448674,1003.2855279800195
2025-01-31 14:01:43.328693,4,10.813118228684193,1605.1764725875562
2025-02-28 14:01:43.328693,3,7.20876598547673,975.3926869518093
2025-03-31 14:01:43.328693,4,12.924572222358847,1815.9749962535743
2025-04-30 14:01:43.328693,2,5.593117734182318,893.5719804314824
2025-05-31 14:01:43.328693,3,10.562509533170793,1547.259992751274
2025-06-30 14:01:43.328693,3,10.328604245121289,1491.4882745370137
2025-07-31 14:01:43.328693,3,9.05283996532033,1118.8670573949612
2025-08-31 14:01:43.328693,5,18.32830161990803,3274.3886145316483
2025-09-30 14:01:43.328693,3,11.440500063329967,1783.0728369716185
2025-10-31 14:01:43.328693,4,12.226691070769856,2099.2708882420025
2025-11-30 14:01:43.328693,3,11.006121763555276,1420.3516372319605
2025-12-31 14:01:43.328693,1,2.966941818355334,467.76286840357415
2026-01-31 14:01:43.328693,2,7.353186333635328,999.1567915106812
2026-02-28 14:01:43.328693,4,15.47879102704349,2350.6110729880756
2026-03-31 14:01:43.328693,4,12.808542659811067,1631.8692747519224
2026-04-30 14:01:43.328693,4,11.907936787890602,1801.7249559594427
2026-05-31 14:01:43.328693,3,11.95071700031366,1575.8246506660569
2026-06-30 14:01:43.328693,3,10.445396882915729,1678.5861265950164
2026-07-31 14:01:43.328693,3,8.812448695181917,1461.7158637302216
2026-08-31 14:01:43.328693,3,7.1424174556150115,1144.6187934785662
