date,jse_alsi,jse_property,sovereign_cds_bps,gold_price_zar,platinum_price_zar,coal_price_zar
2023-09-30 14:03:30.825537,76458.94926644316,2241.357015065704,220.6435089149154,1183214.5141366108,1875633.8552798012,1835.8721462084118
2023-10-31 14:03:30.825537,78349.09555250003,2388.2141097872923,220.2441959404746,1244049.4826536174,1939916.5579707618,2047.7089477395314
2023-11-30 14:03:30.825537,83888.64768634936,2335.44680514129,211.83817332715947,1187442.759824332,2033631.1138667795,1950.360226682868
2023-12-31 14:03:30.825537,89018.63105791378,2400.9881116924366,197.20320604579294,1189938.966362657,1980973.013566712,1769.447072145918
2024-01-31 14:03:30.825537,90122.81274240062,2296.2176706959062,205.6129610143114,1212045.3153249964,1975264.1692684328,1651.0853825131792
2024-02-29 14:03:30.825537,92001.83378854288,2339.656326115203,183.67759110969064,1290238.6372713295,2079254.0150740342,1659.015850645894
2024-03-31 14:03:30.825537,88269.70471191344,2243.720575876143,166.5005851780488,1365636.7132026015,2138586.307702962,1610.6593355264079
2024-04-30 14:03:30.825537,87408.26285499081,2295.261552323283,146.326469044927,1323853.0445653491,2055297.21422771,1456.555569255863
2024-05-31 14:03:30.825537,89067.23081632952,2214.943108696645,158.2688394436641,1368733.5026696916,2045774.9366913324,1401.1406608673492
2024-06-30 14:03:30.825537,92458.20229598162,2172.1386448311437,163.21991653065777,1356995.064486218,2176079.4421138247,1368.0923506138893
2024-07-31 14:03:30.825537,90050.48858835973,2089.3693132851427,152.33758273410496,1331616.080631939,2052660.2556204498,1488.9527020572402
2024-08-31 14:03:30.825537,87642.63825819643,2134.2780354769693,163.6471755959822,1387011.633229586,1790739.7967119275,1469.7501392758652
2024-09-30 14:03:30.825537,90005.44664323449,2162.652166260768,148.6088751512458,1427229.6154289783,1723636.5172818692,1501.8559935304177
2024-10-31 14:03:30.825537,93248.76540131352,2192.3619772690795,130.997192862747,1389315.3525588792,1741365.1915063132,1569.3590576180209
2024-11-30 14:03:30.825537,89800.60474555312,2096.2849687844264,158.08055482076787,1365078.1327046568,1741269.3407877593,1534.4592565233495
2024-12-31 14:03:30.825537,91538.8700790016,2082.3622563972726,169.49809086372466,1329116.1967780679,1614346.143279215,1608.383609401921
2025-01-31 14:03:30.825537,97178.53861717078,1973.3740017414152,173.27848612600215,1330562.9919129952,1612209.421014909,1556.7805851703165
2025-02-28 14:03:30.825537,97828.90212135058,1936.3153857501063,207.2717315926481,1296424.169946632,1674345.7648890102,1498.1030854291298
2025-03-31 14:03:30.825537,102030.6919106559,1956.5618319946736,213.08931501466128,1298092.0959388225,1769102.245843451,1592.0907368153075
2025-04-30 14:03:30.825537,106985.78853354548,1969.2544972680935,207.5646590453668,1303671.1335133254,1647075.2530256154,1680.493953322169
2025-05-31 14:03:30.825537,104452.43774272829,2124.178235986078,177.46055155766962,1302647.1486613704,1591753.4174779442,1575.5901000379408
2025-06-30 14:03:30.825537,103255.16020151472,2143.185793255554,148.4965146305433,1315244.7944533653,1486412.284422181,1582.1753538317075
2025-07-31 14:03:30.825537,98442.04009947793,2116.9867023481233,144.58247480547962,1357982.2161757739,1506724.8168143702,1629.7808214062643
2025-08-31 14:03:30.825537,94597.29790602237,2036.940608454177,156.89524508113163,1341113.7453623984,1545954.1641208108,1684.947217654364
2025-09-30 14:03:30.825537,94415.306939495,2089.6500212114356,164.67752870175624,1329743.4042273501,1571914.3453869473,1682.8311963910855
2025-10-31 14:03:30.825537,97543.71242020301,2040.813196496422,166.13983990538884,1322221.730080288,1613987.2661055815,1682.7400578183826
2025-11-30 14:03:30.825537,100205.30428724759,2177.174992531938,160.69402781923117,1321976.0164456344,1522739.0951432004,1738.7027036736326
2025-12-31 14:03:30.825537,98896.11829233203,1953.888758719848,155.96040215908403,1361825.8628491987,1535077.9805753978,1893.2024456696554
2026-01-31 14:03:30.825537,92777.3292763651,1886.3112898379552,173.54347432368326,1376325.5429646657,1492499.4996487398,1880.2867912576953
2026-02-28 14:03:30.825537,93262.73020218658,1769.0471388943367,193.51659990269312,1427493.170805785,1497434.0325317518,1932.39820898955
2026-03-31 14:03:30.825537,97306.47635542793,1658.2380479974236,197.72539942360112,1465662.2293907516,1425770.421375042,1849.0444197428787
2026-04-30 14:03:30.825537,99312.80316687645,1649.668925656908,199.11195431327207,1531285.6158739745,1352648.3516752115,1828.8965832872225
2026-05-31 14:03:30.825537,102088.54736437276,1604.906010351201,213.32595596576334,1577657.6960247853,1382598.2113384542,1819.1334236592895
2026-06-30 14:03:30.825537,111209.89147933866,1577.4840735204457,223.63290852363124,1530279.9256457377,1355062.232768733,1834.2599758494591
2026-07-31 14:03:30.825537,118767.50288920525,1630.442381173793,234.604646653039,1670050.272973993,1336913.8412338055,1833.5439492594385
2026-08-31 14:03:30.825537,118650.26422649797,1744.0178890391915,242.68567869287253,1662253.596896967,1311158.891030393,1874.997082739858
